#{"t_start": 1762704241.0969076, "env_id": "None"}
r,l,t
1592.4017,978,11362.48233
1609.342,1168,11362.689345
3048.6013,2000,11363.028823
2750.373,1935,11422.39663
1754.1041,2000,11422.818859
3188.0005,2000,11424.658679
1832.6914,1439,11477.848648
1766.0015,2000,11478.273266
2389.901,2000,11487.26091
2427.0,2000,11487.480924
2537.801,2000,11542.65712
1784.8069,2000,11544.507378
1890.9098,2000,11544.816588
1509.2092,2000,11546.582788
2196.569,1711,11598.289235
1684.8002,1585,11598.601183
2609.7085,2000,11600.057762
1666.8062,2000,11600.091598
1196.9911,875,11600.823889
1351.8098,2000,11600.887711
2480.9048,2000,11601.217262
887.30725,2000,11601.599097
1471.914,2000,11664.890349
2600.9038,1886,11674.527006
1473.5111,2000,11720.579584
1531.2034,2000,11722.068371
1152.6072,2000,11722.297525
2072.0,2000,11777.871225
866.91064,2000,11778.166535
1962.5599,1455,11779.079433
1690.4496,1484,11779.675332
2139.0037,2000,11779.930619
865.8125,2000,11838.829527
1495.6018,2000,11839.164702
906.2117,2000,11840.607801
907.5043,2000,11840.643049
940.9061,2000,11870.840662
2072.7007,2000,11870.908423
816.2092,2000,11934.581885
1608.2073,2000,11936.857723
1560.4001,2000,11984.209586
1579.3896,1642,11985.68681
1511.3077,2000,11985.752778
1583.1036,2000,11985.987058
705.91125,2000,12043.187535
915.3031,2000,12044.128981
1905.9056,2000,12074.173271
1779.9078,2000,12074.436014
1706.4023,2000,12075.128439
708.10876,2000,12130.761058
1751.9049,2000,12132.193664
2014.2048,2000,12132.226551
2100.2002,2000,12132.9604
1709.1012,2000,12133.028636
1841.4077,2000,12192.006426
1612.096,1339,12192.047801
1953.5011,2000,12194.335482
1975.7749,1219,12194.971614
1603.942,1155,12246.802691
1594.3119,2000,12247.175337
1763.7076,2000,12248.596602
1761.5004,2000,12248.670014
884.10876,2000,12333.919932
2420.457,1611,12334.952391
3357.0,1845,12335.419806
2180.9058,2000,12335.460294
2308.9058,2000,12336.345818
2315.7031,2000,12446.097317
1779.4532,1992,12446.707019
2381.4011,2000,12446.831237
2189.0,1180,12448.199457
2010.3396,1886,12448.746078
1184.7338,865,12448.780436
1536.9012,2000,12506.100894
1737.0027,2000,12508.0192
2912.0027,2000,12537.504655
1416.7054,2000,12537.806183
1517.0046,2000,12589.815104
1686.0444,1905,12590.477063
1209.167,713,12640.479129
2362.898,2000,12640.775607
1658.3114,2000,12641.192115
2311.7026,2000,12641.226444
2332.8892,1675,12641.905131
2385.401,2000,12642.070119
1409.1677,1045,12642.652362
2230.1045,2000,12709.567261
2662.6018,2000,12710.288043
2119.005,1926,12711.07662
1740.7068,1547,12711.798567
2215.9023,2000,12741.601948
1852.7054,2000,12741.642849
2158.8958,1941,12742.067687
1621.0459,1531,12805.035458
2206.8037,2000,12807.898841
1225.6311,681,12854.079683
1586.8934,1163,12855.44496
1582.4404,1819,12903.038893
1641.7899,1101,12903.167205
730.605,2000,12903.600436
2407.2026,2000,12903.854657
2850.502,2000,12904.270558
2199.3926,2000,12904.888801
2608.0,2000,12905.061731
1696.3864,1480,12905.367797
940.8015,2000,12905.586948
920.90515,2000,13007.49054
932.90173,2000,13008.195922
2434.659,1935,13008.736285
1580.7018,2000,13061.642812
1623.1244,1150,13063.139864
1711.8208,1217,13064.372711
1589.9702,1292,13064.47313
1945.6091,2000,13064.493878
1721.0171,1166,13064.791904
2653.0,2000,13064.922966
2200.2686,1541,13123.745111
2038.7659,1402,13124.563935
3472.0007,2000,13124.59753
1337.9012,2000,13156.16898
2418.8154,1668,13209.481952
1826.1534,1619,13211.80837
3317.843,1969,13211.873551
2724.7002,2000,13265.58032
1960.8407,1245,13265.804577
3296.3008,2000,13266.824451
2024.0485,1352,13267.156065
2861.0012,1641,13267.43159
2159.7268,1466,13267.480954
1987.008,1221,13267.639116
3208.2004,1867,13267.653547
2426.8875,1540,13268.304018
2007.24,1607,13268.47933
1600.4258,869,13341.677989
2731.0957,1690,13342.050869
2363.7847,1421,13343.502306
3027.0,2000,13426.208093
1186.3345,827,13426.577288
1594.3899,881,13426.775684
3115.4023,1811,13427.235117
1970.3494,1091,13427.79304
2316.7644,1294,13428.204684
1889.6024,1076,13428.322243
1706.7256,1099,13428.615698
1944.8634,1223,13494.644396
1609.5248,989,13495.67993
1578.0776,905,13496.728633
3714.0,2000,13496.783667
2122.0576,1491,13497.972168
2361.535,1541,13498.546576
2188.07,1983,13558.131252
1602.9856,987,13558.96565
1197.4305,871,13559.226307
2196.0134,1258,13560.527285
1996.3618,1232,13561.380652
2167.2056,1244,13647.173448
2540.802,2000,13647.194726
2449.8718,1491,13648.468105
1596.7288,1135,13648.796941
1626.5562,1166,13648.95284
2588.0,1329,13649.116379
1553.2201,995,13649.404963
2730.5894,1714,13711.192522
2240.5923,2000,13711.827587
2186.3079,1829,13712.755823
1586.2135,1055,13713.465878
1179.0251,845,13714.209759
1971.3291,1351,13769.893879
2438.3254,1519,13770.900905
1208.2524,721,13770.956832
1722.6455,1087,13771.594291
1543.4087,2000,13772.780546
2985.8003,2000,13773.619972
1571.2317,1057,13832.833955
1716.4574,1081,13847.92502
2009.0704,1327,13847.968282
1977.1383,1331,13848.488606
1584.3838,991,13848.835981
2610.4377,1894,13849.256644
1199.1525,711,13850.062227
2004.3291,1207,13911.676841
2764.1448,1609,13912.086124
1982.2683,1277,13912.108797
2340.8015,1975,13912.707379
2202.0,1360,13913.774745
2405.2473,1456,13969.946798
1988.2195,1241,13970.309304
2662.0,1752,13970.346347
1986.8219,1149,13971.522397
2171.0,1164,13971.66152
1974.2395,1321,14027.113859
2150.0151,1600,14036.810438
2306.8633,1687,14037.274404
2247.741,1506,14038.447869
1711.2931,1127,14038.801444
1715.7722,1028,14039.815881
1986.2278,1285,14039.988305
1702.1266,1026,14102.335852
1810.7211,1417,14102.446669
2194.6304,1800,14103.336472
3231.0,2000,14103.554313
1591.1266,1090,14104.589882
1960.568,1293,14160.25892
1585.6329,1456,14160.266176
2147.6807,1578,14161.066998
2869.0,2000,14162.045321
2160.8025,1333,14162.302288
1990.7493,1341,14162.818549
1993.5688,1285,14162.880014
1702.4128,1213,14163.516373
1966.3899,1245,14230.731362
2001.5742,1149,14243.765328
1996.9183,1139,14244.30354
1837.9076,1170,14244.65191
1730.5769,1175,14245.79126
1596.2135,947,14246.400574
2814.7053,1625,14306.214569
1989.8987,1275,14306.303906
1623.0278,950,14307.966891
1601.4872,969,14308.200724
2045.7435,1380,14309.37572
1964.5215,1331,14365.912448
2151.2349,1628,14366.175462
2482.9004,2000,14366.346992
1996.2858,1205,14366.432791
2030.4495,1185,14367.740423
1772.6744,1292,14367.952563
2440.7605,1612,14446.044661
2043.7695,1374,14446.589694
1985.8734,1163,14446.806975
2366.005,1976,14446.890248
2149.1448,1302,14447.727368
2108.3022,1477,14448.023005
1608.1638,1007,14448.643611
1688.1589,1219,14512.883563
